site,thedate,type,taskcode,Oxidation-Reduction Potential,pH,Turbidity,Dissolved Oxygen,Dissolved Oxygen Saturation
S01,2019-03-15T15:11:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2012-03-16T14:35:00Z,N,Spring Melt,1,NA,1,6.9,NA
S01,2017-03-17T14:40:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-03-17T14:45:00Z,N,Spring Melt,1,1,1,13.7,94.8
S01,2017-03-17T14:50:00Z,N,Spring Melt,1,1,1,13.65,94.4
S01,2014-03-20T14:13:00Z,N,Spring Melt,1,1,1,10.58,NA
S01,2012-03-22T10:00:00Z,N,Spring Melt,1,NA,1,6.34,NA
S01,2011-03-24T09:55:00Z,N,Baseflow,1,1,1,13.79,NA
S01,2019-03-24T17:14:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-24T17:15:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2013-03-28T13:05:00Z,N,Spring Melt,1,1,1,10.28,NA
S01,2014-03-28T13:45:00Z,N,Spring Melt,1,1,0,9.6,NA
S01,2018-03-28T17:12:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-28T17:15:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-28T17:18:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-28T17:19:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-29T08:57:00Z,N,Spring Melt,NA,NA,NA,14.81,110.9
S01,2019-03-29T09:00:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2011-03-31T09:30:00Z,N,Baseflow,1,1,1,13.89,NA
S01,2013-03-06T12:50:00Z,N,Spring Melt,1,NA,1,12.34,NA
S01,2018-03-06T14:20:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-06T14:21:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-06T14:22:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-06T14:24:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-06T14:25:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-03-09T13:35:00Z,N,Spring Melt,1,1,1,NA,NA
S01,2017-03-09T13:40:00Z,N,Spring Melt,1,1,1,NA,NA
S01,2011-04-11T12:15:00Z,N,Stormwater,1,1,1,9.46,NA
S01,2012-04-19T11:20:00Z,N,Baseflow,1,NA,1,9.36,NA
S01,2013-04-02T10:20:00Z,N,Spring Melt,1,1,1,10.4,NA
S01,2011-04-05T10:10:00Z,N,Stormwater,1,1,1,11.75,NA
S01,2014-04-08T13:57:00Z,N,Spring Melt,1,1,1,9.1,NA
S01,2017-05-01T13:30:00Z,N,Baseflow,1,1,NA,12.06,102.6
S01,2017-05-01T13:35:00Z,N,Baseflow,1,1,NA,11.99,102.1
S01,2017-05-01T13:40:00Z,N,Baseflow,1,1,NA,11.97,101.9
S01,2017-05-01T13:45:00Z,FD,Baseflow,NA,NA,NA,NA,NA
S01,2017-05-01T13:45:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2018-05-10T13:34:00Z,N,Baseflow,NA,NA,NA,9.91,99.3
S01,2018-05-10T13:38:00Z,N,Baseflow,NA,NA,NA,9.66,96.7
S01,2018-05-10T13:40:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2018-05-10T13:52:00Z,N,Baseflow,NA,NA,NA,9.9,99.8
S01,2016-05-12T14:15:00Z,N,Baseflow,1,1,1,8.07,NA
S01,2016-05-12T14:27:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2014-05-14T10:00:00Z,N,Baseflow,1,1,1,7.8,NA
S01,2011-05-16T10:45:00Z,N,Stormwater,1,1,1,8.9,NA
S01,2011-05-16T00:00:00Z,N,Stormwater,1,1,1,12.05,NA
S01,2018-05-19T18:00:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2018-05-19T18:00:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-05-21T12:29:00Z,N,Stormwater,NA,NA,NA,8.33,82.3
S01,2018-05-21T12:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-05-21T12:32:00Z,N,Stormwater,NA,NA,NA,9.14,90.5
S01,2018-05-21T12:35:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-05-21T12:37:00Z,N,Stormwater,NA,NA,NA,8.86,88.2
S01,2013-05-29T09:00:00Z,N,Baseflow,1,1,1,5.89,NA
S01,2017-05-05T17:00:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2017-05-05T17:00:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2015-05-06T11:15:00Z,N,Baseflow,1,1,0,9.26,NA
S01,2017-05-07T12:35:00Z,N,Stormwater,1,1,NA,10.58,100.7
S01,2017-05-07T12:38:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2017-05-07T12:42:00Z,N,Stormwater,1,1,NA,10.56,100.8
S01,2015-06-01T13:10:00Z,N,Stormwater,1,1,1,8.53,NA
S01,2019-06-10T10:30:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2012-06-12T09:30:00Z,N,Baseflow,1,NA,0,7.39,NA
S01,2014-06-13T12:22:00Z,N,Stormwater,1,1,1,7.37,NA
S01,2013-06-20T09:10:00Z,N,Baseflow,1,1,1,4.63,NA
S01,2011-06-27T10:50:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2011-06-27T11:00:00Z,N,Stormwater,1,1,1,7.69,NA
S01,2016-06-05T20:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2016-06-07T12:50:00Z,N,Stormwater,1,1,1,7.68,0.799
S01,2016-06-07T12:55:00Z,N,Stormwater,1,1,1,7.63,0.79
S01,2011-07-13T09:55:00Z,N,Baseflow,1,1,1,5.87,NA
S01,2012-07-13T11:30:00Z,N,Baseflow,1,NA,1,4.89,NA
S01,2015-07-14T10:55:00Z,N,Baseflow,1,1,1,6.59,NA
S01,2016-07-14T22:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2016-07-15T14:45:00Z,N,Stormwater,1,1,1,6.28,0.731
S01,2016-07-15T14:50:00Z,N,Stormwater,1,1,1,6.17,0.719
S01,2017-07-17T14:20:00Z,N,Baseflow,NA,NA,NA,6.55,65.1
S01,2017-07-17T14:25:00Z,N,Baseflow,NA,NA,NA,6.22,61.7
S01,2018-07-17T13:30:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2018-07-17T13:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2017-07-18T13:30:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2017-07-18T13:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-07-18T12:00:00Z,N,Stormwater,NA,NA,NA,6.62,71.6
S01,2018-07-18T12:01:00Z,N,Stormwater,NA,NA,NA,6.61,73.1
S01,2018-07-18T12:03:00Z,N,Stormwater,NA,NA,NA,6.31,71.1
S01,2017-07-19T12:49:00Z,N,Stormwater,NA,NA,NA,7.81,82.1
S01,2017-07-19T12:52:00Z,N,Stormwater,NA,NA,NA,7.72,81.7
S01,2017-07-19T12:55:00Z,N,Stormwater,NA,NA,NA,7.65,81.5
S01,2014-07-22T11:15:00Z,N,Baseflow,1,1,0,6.67,NA
S01,2012-07-26T14:20:00Z,N,Stormwater,1,NA,1,NA,NA
S01,2016-07-05T14:50:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2016-07-05T14:52:00Z,N,Baseflow,1,1,1,7.79,0.836
S01,2016-07-05T15:00:00Z,N,Baseflow,1,1,1,8.13,0.873
S01,2018-07-09T10:54:00Z,N,Baseflow,NA,NA,NA,5.18,55
S01,2018-07-09T10:55:00Z,N,Baseflow,NA,NA,NA,5.26,55
S01,2018-07-09T10:58:00Z,N,Baseflow,NA,NA,NA,4.7,49.9
S01,2018-07-09T11:00:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2013-08-01T13:00:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2011-08-10T17:50:00Z,N,Stormwater,1,1,1,6.27,NA
S01,2015-08-12T10:45:00Z,N,Stormwater,1,1,1,NA,NA
S01,2010-08-19T14:40:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2013-08-02T10:50:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2011-08-25T11:15:00Z,N,Baseflow,1,1,1,6.93,NA
S01,2010-09-01T11:15:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2015-09-11T09:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2016-09-11T11:51:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2016-09-12T11:39:00Z,N,Stormwater,1,1,1,8.11,0.814
S01,2016-09-12T11:47:00Z,N,Stormwater,1,1,1,8.4,0.832
S01,2011-09-13T10:00:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2011-09-13T10:05:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2011-09-13T09:50:00Z,N,Baseflow,1,1,1,7.91,NA
S01,2013-09-13T11:20:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2012-09-14T08:15:00Z,N,Baseflow,1,NA,1,4.58,NA
S01,2018-09-17T12:19:00Z,N,Baseflow,NA,NA,NA,7.41,77.8
S01,2018-09-17T12:20:00Z,N,Baseflow,NA,NA,NA,7.2,76
S01,2018-09-17T12:21:00Z,N,Baseflow,NA,NA,NA,7.36,78.1
S01,2018-09-17T12:23:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2018-09-17T12:24:00Z,FD,Baseflow,NA,NA,NA,NA,NA
S01,2018-09-17T12:24:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2015-09-18T10:00:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2018-09-18T09:51:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2018-09-18T09:51:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-09-19T11:11:00Z,N,Stormwater,NA,NA,NA,8.25,76.7
S01,2018-09-19T11:12:00Z,N,Stormwater,NA,NA,NA,8.21,76.3
S01,2018-09-19T11:13:00Z,N,Stormwater,NA,NA,NA,8.19,76.1
S01,2018-09-19T11:17:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2016-09-02T14:40:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2016-09-02T14:48:00Z,N,Baseflow,1,1,1,7.51,0.799
S01,2016-09-02T15:00:00Z,N,Baseflow,1,1,1,6.83,0.724
S01,2016-09-02T15:05:00Z,N,Baseflow,1,1,1,6.88,0.729
S01,2017-09-24T08:45:00Z,N,Baseflow,NA,NA,NA,9.67,91.2
S01,2017-09-24T08:48:00Z,N,Baseflow,NA,NA,NA,9.55,90.2
S01,2017-09-24T08:50:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2017-09-24T08:52:00Z,N,Baseflow,NA,NA,NA,9.57,90.8
S01,2013-09-26T09:45:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2014-09-26T13:40:00Z,N,Baseflow,1,1,0,8.45,NA
S01,2010-09-28T10:25:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2010-09-28T10:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2012-09-07T15:55:00Z,N,Stormwater,1,NA,1,3.87,NA
S01,2017-09-07T14:28:00Z,N,Stormwater,NA,NA,NA,8.8,91.5
S01,2017-09-07T14:31:00Z,N,Stormwater,NA,NA,NA,8.79,90.9
S01,2017-09-07T14:34:00Z,N,Stormwater,NA,NA,NA,8.75,91.1
S01,2017-09-07T14:45:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2017-09-07T04:30:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2017-09-07T04:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2010-10-01T16:00:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2012-10-11T15:23:00Z,N,Stormwater,278,NA,15.5,5.43,NA
S01,2010-10-15T10:50:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2014-10-17T08:50:00Z,N,Stormwater,114,1,0,7.13,NA
S01,2010-10-21T13:45:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2011-10-25T12:35:00Z,N,Stormwater,239,1,16,5.58,NA
S01,2012-10-25T15:40:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2010-10-06T14:20:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2014-10-06T09:50:00Z,N,Stormwater,91,1,0,7.89,NA
S01,2010-11-15T12:10:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2012-11-29T09:20:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2011-11-30T10:00:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2011-11-09T15:10:00Z,N,Baseflow,139,NA,16.4,6.99,NA
S01,2012-02-17T09:50:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-02-19T10:50:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-02-19T11:00:00Z,N,Spring Melt,143.4,1,9.905,NA,NA
S01,2017-02-19T11:05:00Z,N,Spring Melt,146.1,1,8.13,NA,NA
S01,2017-03-01T11:10:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-03-01T11:15:00Z,N,Spring Melt,117.5,1,12.3,NA,NA
S01,2017-03-01T11:20:00Z,N,Spring Melt,112.6,1,12.5,NA,NA
S01,2013-03-13T16:15:00Z,N,Spring Melt,NA,NA,NA,11.69,NA
S01,2012-03-14T10:30:00Z,N,Spring Melt,150,NA,7.9,8.07,NA
S01,2014-03-14T13:26:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2012-03-16T14:05:00Z,N,Spring Melt,86,NA,8.7,7.87,NA
S01,2017-03-17T18:40:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-03-17T18:45:00Z,N,Spring Melt,170,1,10.85,13.36,91.4
S01,2017-03-17T18:50:00Z,N,Spring Melt,167.6,1,11,13.33,91.2
S01,2014-03-20T13:54:00Z,N,Spring Melt,95,1,46.1,6.82,NA
S01,2012-03-22T10:10:00Z,N,Spring Melt,100,NA,88.6,6.59,NA
S01,2011-03-24T10:50:00Z,N,Baseflow,137.7,1,3.4,12.65,NA
S01,2013-03-28T13:25:00Z,N,Spring Melt,107,1,4.6,10.33,NA
S01,2014-03-28T13:05:00Z,N,Spring Melt,81,1,0,8.32,NA
S01,2011-03-31T09:55:00Z,N,Baseflow,75,1,3.91,12.58,NA
S01,2013-03-06T13:10:00Z,N,Spring Melt,148,NA,4.9,1.19,NA
S01,2017-03-09T12:30:00Z,N,Spring Melt,115.6,1,9.53,NA,NA
S01,2017-03-09T12:35:00Z,N,Spring Melt,117.1,1,9.93,NA,NA
S01,2011-04-11T11:45:00Z,N,Stormwater,176,1,81.3,8.84,NA
S01,2012-04-19T12:00:00Z,N,Baseflow,236,NA,1.4,7.47,NA
S01,2013-04-02T10:35:00Z,N,Spring Melt,34,1,3.2,11.79,NA
S01,2011-04-05T10:20:00Z,N,Stormwater,58.3,1,4.9,10.69,NA
S01,2014-04-08T13:35:00Z,N,Spring Melt,108,1,11.5,8.19,NA
S01,2017-05-01T18:21:00Z,N,Baseflow,104.3,1,NA,9.55,84
S01,2017-05-01T18:24:00Z,N,Baseflow,100.5,1,NA,9.4,82.8
S01,2017-05-01T18:25:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2017-05-01T18:27:00Z,N,Baseflow,99.1,1,NA,9.39,82.7
S01,2018-05-10T12:37:00Z,N,Baseflow,NA,NA,NA,9.21,93.4
S01,2018-05-10T12:39:00Z,N,Baseflow,NA,NA,NA,9.12,92.8
S01,2018-05-10T12:40:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2018-05-10T12:42:00Z,N,Baseflow,NA,NA,NA,9.11,92.8
S01,2016-05-12T13:25:00Z,N,Baseflow,83,1,3.5425,8.27,NA
S01,2016-05-12T13:35:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2014-05-14T09:40:00Z,N,Baseflow,75,1,0,5.5,NA
S01,2011-05-16T10:00:00Z,N,Stormwater,160,1,7.8,10.69,NA
S01,2018-05-19T18:00:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-05-21T11:50:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-05-21T11:52:00Z,N,Stormwater,NA,NA,NA,8.43,86.9
S01,2018-05-21T11:54:00Z,N,Stormwater,NA,NA,NA,8.5,87.7
S01,2018-05-21T11:57:00Z,N,Stormwater,NA,NA,NA,8.49,87.7
S01,2013-05-29T09:15:00Z,N,Baseflow,109,1,0.9,6.85,NA
S01,2017-05-05T17:00:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2015-05-06T10:40:00Z,N,Baseflow,94,1,0,7.94,NA
S01,2017-05-07T11:55:00Z,N,Stormwater,98.8,1,NA,9.68,95
S01,2017-05-07T11:57:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2017-05-07T12:00:00Z,N,Stormwater,97,1,NA,9.66,95
S01,2015-06-01T13:00:00Z,N,Stormwater,85,1,7.2,7.93,NA
S01,2019-06-10T11:00:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2012-06-12T10:00:00Z,N,Baseflow,147,NA,0,6.91,NA
S01,2014-06-13T12:01:00Z,N,Stormwater,104,1,26.6,4.83,NA
S01,2013-06-20T09:25:00Z,N,Baseflow,111,1,1.3,7.41,NA
S01,2011-06-27T11:30:00Z,N,Stormwater,242,1,7,8.11,NA
S01,2016-06-05T20:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2016-06-07T13:25:00Z,N,Stormwater,97,1,4.67,7.68,0.856
S01,2016-06-07T13:30:00Z,N,Stormwater,84,1,4.36,7.72,0.859
S01,2011-07-13T10:35:00Z,N,Baseflow,268,1,3.1,7.29,NA
S01,2012-07-13T10:40:00Z,N,Baseflow,134,NA,27.5,4.63,NA
S01,2015-07-14T10:40:00Z,N,Baseflow,117,1,4.2,3.97,NA
S01,2016-07-14T22:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2016-07-15T14:31:00Z,N,Stormwater,126,1,5.42,6.09,0.77
S01,2016-07-15T14:35:00Z,N,Stormwater,125,1,8.06,5.9,0.744
S01,2017-07-17T13:10:00Z,N,Baseflow,NA,NA,NA,5.45,62.8
S01,2017-07-17T13:15:00Z,N,Baseflow,NA,NA,NA,4.09,48.7
S01,2017-07-17T13:18:00Z,N,Baseflow,NA,NA,NA,4.79,55.6
S01,2018-07-17T13:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2017-07-18T13:30:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-07-18T11:09:00Z,N,Stormwater,NA,NA,NA,5.78,64.9
S01,2018-07-18T11:11:00Z,N,Stormwater,NA,NA,NA,5.72,64.2
S01,2018-07-18T11:12:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-07-18T11:13:00Z,N,Stormwater,NA,NA,NA,5.74,63.9
S01,2017-07-19T11:52:00Z,N,Stormwater,NA,NA,NA,4.93,57.3
S01,2017-07-19T11:55:00Z,N,Stormwater,NA,NA,NA,4.9,57.3
S01,2017-07-19T11:57:00Z,N,Stormwater,NA,NA,NA,4.88,56.8
S01,2014-07-22T10:50:00Z,N,Baseflow,19,1,15.1,5.49,NA
S01,2012-07-26T13:50:00Z,N,Stormwater,175,NA,2.4,NA,NA
S01,2016-07-05T11:30:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2016-07-05T11:33:00Z,N,Baseflow,134,1,5.03,8.82,1.1711
S01,2016-07-05T11:40:00Z,N,Baseflow,129,1,4.52,9.77,1.176
S01,2018-07-09T16:08:00Z,N,Baseflow,NA,NA,NA,5.54,65.6
S01,2018-07-09T16:09:00Z,N,Baseflow,NA,NA,NA,5.5,65.2
S01,2018-07-09T16:10:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2018-07-09T16:11:00Z,N,Baseflow,NA,NA,NA,5.48,65
S01,2013-08-01T12:15:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2011-08-10T18:01:00Z,N,Stormwater,207,1,5.5,6.64,NA
S01,2015-08-12T10:15:00Z,N,Stormwater,162,1,86.5,NA,NA
S01,2010-08-19T14:45:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2010-08-19T14:50:00Z,FD,Baseflow,NA,NA,NA,NA,NA
S01,2013-08-02T10:50:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2011-08-25T11:30:00Z,N,Baseflow,194,1,2.3,7.81,NA
S01,2010-09-01T11:25:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2015-09-11T09:25:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2016-09-11T11:51:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2016-09-12T11:03:00Z,N,Stormwater,-8,1,3.73,4.23,0.439
S01,2016-09-12T11:08:00Z,N,Stormwater,7,1,8.67,3.93,0.407
S01,2011-09-13T10:35:00Z,N,Baseflow,105,1,119,6.34,NA
S01,2011-09-13T10:45:00Z,N,Stormwater,139,1,31.9,5.86,NA
S01,2013-09-13T12:05:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2012-09-14T08:50:00Z,N,Baseflow,91,NA,0.7,3.59,NA
S01,2018-09-17T11:29:00Z,N,Baseflow,NA,NA,NA,5.63,61.4
S01,2018-09-17T11:30:00Z,N,Baseflow,NA,NA,NA,5.61,61.9
S01,2018-09-17T11:31:00Z,N,Baseflow,NA,NA,NA,5.55,61
S01,2015-09-18T09:45:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2018-09-18T09:51:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-09-19T10:00:00Z,N,Stormwater,NA,NA,NA,6.62,70.3
S01,2018-09-19T10:01:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-09-19T09:58:00Z,N,Stormwater,NA,NA,NA,6.64,70.9
S01,2018-09-19T09:59:00Z,N,Stormwater,NA,NA,NA,6.64,70.6
